centroid_1533	GO:0030429,GO:0019441
centroid_2677	GO:0006750,GO:0003840
centroid_1545	GO:0008662
centroid_996	GO:0005737,GO:0006779,GO:0042286
centroid_64	GO:0006572,GO:0004334,GO:0006559
centroid_75	GO:0050415,GO:0019556
centroid_3130	GO:0004325,GO:0006779
centroid_1110	GO:0004013,GO:0006730
centroid_2775	GO:0004805,GO:0005992
centroid_1382	GO:0004801,GO:0006098
centroid_4870	GO:0004180
centroid_282	GO:0009252,GO:0008963
centroid_1514	GO:0005737,GO:0009252,GO:0008834
centroid_122	GO:0004037,GO:0000256
centroid_877	GO:0004180
centroid_74	GO:0006548,GO:0050480
centroid_741	GO:0009107,GO:0016979
centroid_302	GO:0008199,GO:0006880
centroid_4668	GO:0009247,GO:0016757
centroid_4891	GO:0005737,GO:0055114,GO:0015036
centroid_1196	GO:0004044,GO:0009152
centroid_2850	GO:0004180
centroid_2357	GO:0051920,GO:0006979
centroid_2778	GO:0008199,GO:0006880
centroid_2911	GO:0005737,GO:0055114,GO:0015036
centroid_494	GO:0005737,GO:0055114,GO:0015036
centroid_2021	GO:0005737,GO:0004802,GO:0006098
