cluster id	num of members	protein name	role_ids	attributes	locus	db
81	1	hypothetical protein	0		ACX60_RS00435	7978mff
111	1	hypothetical protein	0		ACX60_RS00600	7978mff
258	1	hypothetical protein	0		ACX60_RS01365	7978mff
259	1	hypothetical protein	0		ACX60_RS01370	7978mff
260	1	AraC family transcriptional regulator	0		ACX60_RS01375	7978mff
357	1	hypothetical protein	0		ACX60_RS01880	7978mff
505	1	hypothetical protein	0		ACX60_RS02700	7978mff
555	1	hypothetical protein	0		ACX60_RS02955	7978mff
556	1	hypothetical protein	0		ACX60_RS02960	7978mff
557	1	hypothetical protein	0		ACX60_RS02965	7978mff
558	1	hypothetical protein	0		ACX60_RS02970	7978mff
813	1	HIT domain-containing protein	0		ACX60_RS04295	7978mff
814	1	hypothetical protein	0		ACX60_RS04300	7978mff
815	1	hypothetical protein	0		ACX60_RS04305	7978mff
816	1	hypothetical protein	0		ACX60_RS04310	7978mff
817	1	hypothetical protein	0		ACX60_RS04315	7978mff
882	1	hypothetical protein	0		ACX60_RS04645	7978mff
883	1	hypothetical protein	0		ACX60_RS19060	7978mff
884	1	AraC family transcriptional regulator	0		ACX60_RS04655	7978mff
885	1	isochorismate synthase	0		ACX60_RS04660	7978mff
886	1	23-dihydro-2,3-dihydroxybenzoate synthetase	0		ACX60_RS04665	7978mff
887	1	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	0		ACX60_RS04670	7978mff
888	1	peptide synthetase	0		ACX60_RS04675	7978mff
889	1	non-ribosomal peptide synthetase	0		ACX60_RS04680	7978mff
890	1	peptide synthetase	0		ACX60_RS04685	7978mff
891	1	(2,3-dihydroxybenzoyl)adenylate synthase	0		ACX60_RS04690	7978mff
892	1	siderophore biosynthesis protein	0		ACX60_RS04695	7978mff
893	1	type III PLP-dependent enzyme	0		ACX60_RS04700	7978mff
894	1	N-acetyltransferase	0		ACX60_RS04705	7978mff
895	1	4'-phosphopantetheinyl transferase	0		ACX60_RS04720	7978mff
896	1	thioesterase	0		ACX60_RS04725	7978mff
897	1	ligand-gated channel protein	0		ACX60_RS04730	7978mff
898	1	MFS transporter	0		ACX60_RS04735	7978mff
899	1	siderophore-interacting protein	0		ACX60_RS04740	7978mff
900	1	MATE family efflux transporter	0		ACX60_RS04745	7978mff
901	1	hypothetical protein	0		ACX60_RS04750	7978mff
902	1	transporter	0		ACX60_RS04755	7978mff
903	1	hypothetical protein	0		ACX60_RS04760	7978mff
904	1	hypothetical protein	0		ACX60_RS04765	7978mff
905	1	transposase	0		ACX60_RS04770	7978mff
906	1	hypothetical protein	0		ACX60_RS04785	7978mff
908	1	IS5 family transposase ISAba12	0		ACX60_RS04795	7978mff
1414	1	hypothetical protein	0		ACX60_RS07425	7978mff
1415	1	hypothetical protein	0		ACX60_RS07430	7978mff
1425	1	hypothetical protein	0		ACX60_RS18990	7978mff
1427	1	hypothetical protein	0		ACX60_RS07495	7978mff
1428	1	hypothetical protein	0		ACX60_RS07500	7978mff
1429	1	hypothetical protein	0		ACX60_RS07505	7978mff
1465	1	hypothetical protein	0		ACX60_RS07680	7978mff
1466	1	hypothetical protein	0		ACX60_RS07685	7978mff
1468	1	hypothetical protein	0		ACX60_RS07695	7978mff
1470	1	hypothetical protein	0		ACX60_RS07710	7978mff
1720	1	hypothetical protein	0		ACX60_RS08960	7978mff
1721	1	hypothetical protein	0		ACX60_RS08965	7978mff
1722	1	hypothetical protein	0		ACX60_RS08970	7978mff
1735	1	hypothetical protein	0		ACX60_RS09045	7978mff
1736	1	hypothetical protein	0		ACX60_RS09050	7978mff
1737	1	hypothetical protein	0		ACX60_RS09055	7978mff
1753	1	hypothetical protein	0		ACX60_RS09140	7978mff
1910	1	hypothetical protein	0		ACX60_RS09945	7978mff
1913	1	hypothetical protein	0		ACX60_RS09960	7978mff
1914	1	hypothetical protein	0		ACX60_RS09965	7978mff
1915	1	hypothetical protein	0		ACX60_RS09970	7978mff
1920	1	hypothetical protein	0		ACX60_RS09995	7978mff
1921	1	lipoprotein	0		ACX60_RS10000	7978mff
1923	1	hypothetical protein	0		ACX60_RS10010	7978mff
1933	1	hypothetical protein	0		ACX60_RS10060	7978mff
1936	1	hypothetical protein	0		ACX60_RS10075	7978mff
1939	1	hypothetical protein	0		ACX60_RS10090	7978mff
1940	1	hypothetical protein	0		ACX60_RS10095	7978mff
1941	1	hypothetical protein	0		ACX60_RS10100	7978mff
1942	1	hypothetical protein	0		ACX60_RS10105	7978mff
1943	1	hypothetical protein	0		ACX60_RS10110	7978mff
1949	1	hypothetical protein	0		ACX60_RS10140	7978mff
1950	1	Cro/Cl family transcriptional regulator	0		ACX60_RS10145	7978mff
1956	1	DUF551 domain-containing protein	0		ACX60_RS10175	7978mff
1958	1	hypothetical protein	0		ACX60_RS10185	7978mff
2257	1	hypothetical protein	0		ACX60_RS11690	7978mff
2265	1	hypothetical protein	0		ACX60_RS18995	7978mff
2275	1	hypothetical protein	0		ACX60_RS11780	7978mff
2388	1	hypothetical protein	0		ACX60_RS12350	7978mff
2389	1	DUF4065 domain-containing protein	0		ACX60_RS12355	7978mff
2392	1	hypothetical protein	0		ACX60_RS12370	7978mff
2509	1	hypothetical protein	0		ACX60_RS12960	7978mff
2512	1	alpha/beta hydrolase	0		ACX60_RS12975	7978mff
2513	1	hypothetical protein	0		ACX60_RS12980	7978mff
2514	1	LysR family transcriptional regulator	0		ACX60_RS12985	7978mff
2515	1	D-amino acid dehydrogenase	0		ACX60_RS12990	7978mff
2516	1	RidA family protein	0		ACX60_RS12995	7978mff
2517	1	hypothetical protein	0		ACX60_RS13005	7978mff
2518	1	hypothetical protein	0		ACX60_RS13010	7978mff
2519	1	hypothetical protein	0		ACX60_RS13015	7978mff
2520	1	hypothetical protein	0		ACX60_RS13025	7978mff
2623	1	hypothetical protein	0		ACX60_RS13555	7978mff
2673	1	hypothetical protein	0		ACX60_RS13810	7978mff
2674	1	hypothetical protein	0		ACX60_RS13815	7978mff
2675	1	ImmA/IrrE family metallo-endopeptidase	0		ACX60_RS13820	7978mff
2676	1	hypothetical protein	0		ACX60_RS13825	7978mff
3202	1	histidine kinase	0		ACX60_RS16565	7978mff
3292	1	IS701 family transposase	0		ACX60_RS17040	7978mff
3416	1	hypothetical protein	0		ACX60_RS17685	7978mff
3570	1	hypothetical protein	0		ACX60_RS18490	7978mff
