cluster id	num of members	protein name	centroid genome	centroid locus	role_ids	attributes	7978mff	1279779	LAC4b	B8300	A1296	HWBA8	AB031	ab736	manniia	KAB07	bH12OA2	A1	JAB0715	OMTU433	3207	6200	B8342	ABNIH28	ZW851	
1	19	chromosomal replication initiator protein DnaA	1279779	ABD1_RS00005	0		ACX60_RS00005	ABD1_RS00005	RR41_RS00005	AB987_RS07340	BS103_RS00005	B7L46_RS08850	IX88_RS02175	A4U85_RS00005	ABCIP7010_RS00005	KAB07_RS00035	LX00_RS00075	ABA1_RS00070	BJAB0715_RS00095	IOMTU433_RS00020	Aba3207_RS11340	RU84_RS00005	AB895_RS07430	C2U32_RS14400	P795_RS00005	
2	19	DNA polymerase III subunit beta	7978mff	ACX60_RS00010	0		ACX60_RS00010	ABD1_RS00010	RR41_RS00010	AB987_RS07335	BS103_RS00010	B7L46_RS08845	IX88_RS02170	A4U85_RS00010	ABCIP7010_RS00010	KAB07_RS00030	LX00_RS00070	ABA1_RS00065	BJAB0715_RS00090	IOMTU433_RS00025	Aba3207_RS11335	RU84_RS00010	AB895_RS07435	C2U32_RS14405	P795_RS00010	
3	19	DNA replication and repair protein RecF	LAC4b	RR41_RS00015	0		ACX60_RS00015	ABD1_RS00015	RR41_RS00015	AB987_RS07330	BS103_RS00015	B7L46_RS08840	IX88_RS02165	A4U85_RS00015	ABCIP7010_RS00015	KAB07_RS00025	LX00_RS00065	ABA1_RS00060	BJAB0715_RS00085	IOMTU433_RS00030	Aba3207_RS11330	RU84_RS00015	AB895_RS07440	C2U32_RS14410	P795_RS00015	
4	19	DNA topoisomerase (ATP-hydrolyzing) subunit B	1279779	ABD1_RS00020	0		ACX60_RS00020	ABD1_RS00020	RR41_RS00020	AB987_RS07325	BS103_RS00020	B7L46_RS08835	IX88_RS02160	A4U85_RS00020	ABCIP7010_RS00020	KAB07_RS00020	LX00_RS00060	ABA1_RS00055	BJAB0715_RS00080	IOMTU433_RS00035	Aba3207_RS11325	RU84_RS00020	AB895_RS07445	C2U32_RS14415	P795_RS00020	
5	19	cytochrome b	1279779	ABD1_RS00025	0		ACX60_RS00025	ABD1_RS00025	RR41_RS00025	AB987_RS07320	BS103_RS00025	B7L46_RS08830	IX88_RS02155	A4U85_RS00025	ABCIP7010_RS00025	KAB07_RS00015	LX00_RS00055	ABA1_RS00050	BJAB0715_RS00075	IOMTU433_RS00040	Aba3207_RS11320	RU84_RS00025	AB895_RS07450	C2U32_RS14420	P795_RS00025	
6	19	membrane protein	7978mff	ACX60_RS00030	0		ACX60_RS00030	ABD1_RS00030	RR41_RS00030	AB987_RS07315	BS103_RS00030	B7L46_RS08825	IX88_RS02150	A4U85_RS00030	ABCIP7010_RS00030	KAB07_RS00010	LX00_RS00050	ABA1_RS00045	BJAB0715_RS00070	IOMTU433_RS00045	Aba3207_RS11315	RU84_RS00030	AB895_RS07455	C2U32_RS14425	P795_RS00030	
7	19	ABC transporter ATP-binding protein	bH12OA2	LX00_RS00045	0		ACX60_RS00035	ABD1_RS00035	RR41_RS00035	AB987_RS07310	BS103_RS00035	B7L46_RS08820	IX88_RS02145	A4U85_RS00035	ABCIP7010_RS00035	KAB07_RS00005	LX00_RS00045	ABA1_RS00040	BJAB0715_RS00065	IOMTU433_RS00050	Aba3207_RS11310	RU84_RS00035	AB895_RS07460	C2U32_RS14430	P795_RS00035	
8	19	RND transporter	ab736	A4U85_RS00040	0		ACX60_RS00040	ABD1_RS00040	RR41_RS00040	AB987_RS07305	BS103_RS00040	B7L46_RS08815	IX88_RS02140	A4U85_RS00040	ABCIP7010_RS00040	KAB07_RS19080	LX00_RS00040	ABA1_RS00035	BJAB0715_RS00060	IOMTU433_RS00055	Aba3207_RS11305	RU84_RS00040	AB895_RS07465	C2U32_RS14435	P795_RS00040	
9	19	hypothetical protein	7978mff	ACX60_RS00045	0		ACX60_RS00045	ABD1_RS00045	RR41_RS00045	AB987_RS07300	BS103_RS00045	B7L46_RS08810	IX88_RS02135	A4U85_RS00045	ABCIP7010_RS00045	KAB07_RS19075	LX00_RS00035	ABA1_RS00030	BJAB0715_RS00055	IOMTU433_RS00060	Aba3207_RS11300	RU84_RS00045	AB895_RS07470	C2U32_RS14440	P795_RS00045	
10	19	hypothetical protein	B8300	AB987_RS07295	0		ACX60_RS00050	ABD1_RS00050	RR41_RS00050	AB987_RS07295	BS103_RS00050	B7L46_RS08805	IX88_RS02130	A4U85_RS00050	ABCIP7010_RS00050	KAB07_RS19070	LX00_RS00030	ABA1_RS00025	BJAB0715_RS00050	IOMTU433_RS00065	Aba3207_RS11295	RU84_RS00050	AB895_RS07475	C2U32_RS14445	P795_RS00050	
