centroid_6786	ARO:3000873
centroid_2890	ARO:3003784
centroid_7093	ARO:3000774
centroid_1750	ARO:3000774
centroid_5359	ARO:3000410
centroid_1508	ARO:3000559
centroid_6816	ARO:3000410
centroid_7228	ARO:3003687
centroid_4067	ARO:3001676
centroid_1749	ARO:3000553
centroid_5525	ARO:3001418
centroid_1140	ARO:3000777
centroid_3617	ARO:3000412
centroid_5356	ARO:3002369
centroid_2977	ARO:3000533
centroid_5280	ARO:3000165
centroid_3227	ARO:3003359
centroid_5529	ARO:3000858
centroid_5297	ARO:3003109
centroid_3964	ARO:3002660
centroid_5305	ARO:3000412
centroid_5293	ARO:3000858
centroid_724	ARO:3000780
centroid_28	ARO:3003692
centroid_4453	ARO:3000230
centroid_279	ARO:3003937
centroid_1146	ARO:3000768
centroid_7458	ARO:3000809
centroid_2136	ARO:3000620
centroid_2719	ARO:3003359
centroid_6830	ARO:3002683
centroid_4559	ARO:3000620
centroid_3118	ARO:3000753
centroid_2678	ARO:3003962
centroid_1141	ARO:3000620
centroid_8386	ARO:3003577
centroid_1748	ARO:3000549
centroid_5350	ARO:3002847
centroid_7254	ARO:3001611
centroid_2978	ARO:3000535
centroid_7265	ARO:3001205
centroid_5354	ARO:3000410
centroid_7266	ARO:3000589
centroid_3103	ARO:3003392
centroid_1886	ARO:3003844
centroid_3114	ARO:3000620
centroid_722	ARO:3000782
centroid_3963	ARO:3002639
centroid_6355	ARO:3002601
centroid_1138	ARO:3000779
centroid_5298	ARO:3003741
